FECHA;HORA;CO_CENTENARIO;NO2_CENTENARIO;PM10_CENTENARIO;CO_CORDOBA;NO2_CORDOBA;PM10_CORDOBA;CO_LA_BOCA;NO2_LA_BOCA;PM10_LA_BOCA
01/01/2017;1;0,7; ; ;0,81;19;19; ;2;43
01/01/2017;2;0,72; ; ;0,79;16;20; ;2;46
01/01/2017;3;0,72; ; ;0,82;23;19; ;1;46
01/01/2017;4;0,73; ; ;0,81;16;20; ;2;51
01/01/2017;5;0,73; ; ;0,73;11;20; ;2;50
01/01/2017;6;0,69; ; ;0,65;11;20; ;2;49
01/01/2017;7;0,63; ; ;0,6;14;20; ;3;49
01/01/2017;8;0,61; ; ;0,57;18;20; ;3;49
01/01/2017;9;0,6; ; ;0,55;18;21; ;2;50
01/01/2017;10;0,57; ; ;0,52;15;23; ;3;50
01/01/2017;11;0,55; ; ;0,44;14;23; ;2;48
01/01/2017;12;0,52; ; ;0,4;15;22; ;2;47
01/01/2017;13;0,49; ; ;0,4;16;22; ;1;47
01/01/2017;14;0,48; ; ;0,41;17;21; ;2;46
01/01/2017;15;0,46; ; ;0,42;18;21; ;1;47
01/01/2017;16;0,44; ; ;0,41;21;20; ;1;45
01/01/2017;17;0,42; ; ;0,43;18;20; ;2;46
01/01/2017;18;0,42; ; ;0,45;18;20; ;1;46
01/01/2017;19;0,43; ; ;0,5;24;20; ;1;45
01/01/2017;20;0,43; ; ;0,55;28;20; ;2;42
01/01/2017;21;0,44; ; ;0,61;30;20; ;3;37
01/01/2017;22;0,46; ; ;0,68;32;19; ;3;36
01/01/2017;23;0,48; ; ;0,7;27;22; ;3;37
01/01/2017;24;0,48; ; ;0,7;23;24; ;3;36
02/01/2017;1;0,49; ; ;0,71;22;25; ;5;33
02/01/2017;2;0,49; ; ;0,68;16;26; ;20;30
02/01/2017;3;0,47; ; ;0,63;14;26; ;10;30
02/01/2017;4;0,45; ; ;0,57;16;26; ;21;26
02/01/2017;5;0,42; ; ;0,49;15;27; ;16;28
02/01/2017;6;0,38; ; ;0,4;16;29; ;7;31
02/01/2017;7;0,34; ; ;0,36;18;33; ;8;33
02/01/2017;8;0,33; ; ;0,37;21;35; ;7;36
02/01/2017;9;0,33; ; ;0,37;20;38; ;5;37
02/01/2017;10;0,33; ; ;0,39;19;39; ;6;40
02/01/2017;11;0,33; ; ;0,45;17;42; ;7;44
02/01/2017;12;0,35; ; ;0,51;16;45; ;5;48
02/01/2017;13;0,37; ; ;0,6;16;48; ;5;51
02/01/2017;14;0,4; ; ;0,71; ;51; ;6;54
02/01/2017;15;0,43; ; ;0,78; ;53; ;6;61
02/01/2017;16;0,45; ; ;0,83; ;55; ;6;64
02/01/2017;17;0,45; ; ;0,87;12;57; ;6;66
02/01/2017;18;0,46; ; ;0,92;11;59; ;7;68
02/01/2017;19;0,48; ; ;0,95;11;60; ;9;70
02/01/2017;20;0,49; ; ;0,96;12;61; ;7;73
02/01/2017;21;0,51; ; ;0,94;11;61; ;10;74
02/01/2017;22;0,51; ; ;0,9;11;61; ;10;77
02/01/2017;23;0,51; ; ;0,86;9;59; ;9;74
02/01/2017;24;0,52; ; ;0,8;8;57; ;6;72
03/01/2017;1;0,53;4; ;0,75;8;56; ;6;72
03/01/2017;2;0,54;4; ;0,68;8;56; ;4;73
03/01/2017;3;0,54;3; ;0,6;9;56; ;4;73
03/01/2017;4;0,52;2; ;0,54;10;57; ;4;74
03/01/2017;5;0,51;2; ;0,48;7;57; ;3;75
03/01/2017;6;0,5;2; ;0,43;3;55; ;4;74
03/01/2017;7;0,49;2; ;0,39;4;53; ;3;71
03/01/2017;8;0,48;3; ;0,37;5;50; ;4;70
03/01/2017;9;0,48;3; ;0,37;7;47; ;4;67
03/01/2017;10;0,49;3; ;0,38;7;46; ;5;66
03/01/2017;11;0,51;3; ;0,4;7;44; ;5;62
03/01/2017;12;0,55;3; ;0,44;8;40; ;4;59
03/01/2017;13;0,58; ; ;0,47;7;39; ;5;58
03/01/2017;14;0,65; ; ;0,49; ;36; ;4;59
03/01/2017;15;0,72; ; ;0,51; ;34; ;5;52
03/01/2017;16;0,8; ; ; ;7;33; ;4;49
03/01/2017;17;0,87; ; ; ;9;31; ;5;46
03/01/2017;18;0,91; ; ; ;8;29; ;4;43
03/01/2017;19;0,92; ; ; ;9;28; ;6;43
03/01/2017;20;0,94; ; ; ;11; ; ;5;44
03/01/2017;21;0,96; ; ; ;9; ; ;5;43
03/01/2017;22;0,96; ; ; ;8; ; ;6;40
03/01/2017;23;0,94; ; ; ;8; ; ;5;37
03/01/2017;24;0,89; ; ; ;6; ; ;6;37
04/01/2017;1;0,86; ; ; ;7; ; ;6;36
04/01/2017;2;0,85; ; ; ;12; ; ;6;35
04/01/2017;3; ; ; ; ;14; ; ;7;36
04/01/2017;4; ; ; ; ;12; ; ;7;36
04/01/2017;5; ; ; ; ;11; ; ;7;34
04/01/2017;6; ; ; ; ;11; ; ;8;35
04/01/2017;7; ; ; ; ;14; ; ;9;36
04/01/2017;8; ; ; ; ;16; ; ;8;36
04/01/2017;9; ; ; ; ;15; ; ;8;36
04/01/2017;10; ; ; ; ;18; ; ;7;35
04/01/2017;11; ; ; ; ;16; ; ;7;35
04/01/2017;12; ; ; ; ;19; ; ;7;35
04/01/2017;13;0,82; ; ; ;18; ; ;7;35
04/01/2017;14;0,84; ; ; ;16; ; ;9;32
04/01/2017;15;0,88; ; ; ; ;44; ;11;36
04/01/2017;16;0,91; ; ; ; ;44; ;9;38
04/01/2017;17;0,92; ; ; ;25;47; ;7;38
04/01/2017;18;0,89; ; ; ;26;52; ;9;39
04/01/2017;19;0,88; ; ; ;28;54; ;16;40
04/01/2017;20;0,87; ; ;1,55;29;55; ;53;39
04/01/2017;21;0,87; ; ;1,44;28;57; ;16;40
04/01/2017;22;0,88; ; ;1,27;25;59; ;17;43
04/01/2017;23;0,9; ; ;1,24;26;63; ;22;47
04/01/2017;24;0,91; ; ;1,23;25;66; ; ;51
05/01/2017;1;0,93; ; ;1,2;22;68; ; ;54
05/01/2017;2;0,97; ; ;1,15;17;70; ; ;58
05/01/2017;3;0,98; ; ;1,04;15;71; ; ;58
05/01/2017;4;0,95; ; ;0,89;13;71; ; ;59
05/01/2017;5;0,92; ; ;0,77;14;71; ; ;59
05/01/2017;6;0,88; ; ;0,71;15;71; ; ;58
05/01/2017;7;0,85; ; ;0,66;16;72; ; ;58
05/01/2017;8;0,85; ; ;0,58;21;72; ; ;58
05/01/2017;9;0,86; ; ;0,53;19;71; ; ;58
05/01/2017;10;0,86; ; ;0,56;19;73; ; ;60
05/01/2017;11;0,84; ; ;0,6;16;75; ; ;62
05/01/2017;12;0,84; ; ;0,64;15;79; ; ;64
05/01/2017;13;0,84; ; ;0,71;17;81; ;92;64
05/01/2017;14;0,84; ; ;0,72;13;82; ;55;65
05/01/2017;15;0,81; ; ;0,75;17;83; ;40;63
05/01/2017;16;0,77; ; ;0,77;15;85; ;29;62
05/01/2017;17;0,72; ; ;0,81;15;83; ;23;64
05/01/2017;18;0,66; ; ;0,84;18;81; ;24;65
05/01/2017;19;0,65; ; ;0,89;17;81;0,92;21;63
05/01/2017;20;0,65; ; ;0,93;14;81;0,91;23;62
05/01/2017;21;0,65; ; ;0,92;14;81;0,9;25;60
05/01/2017;22;0,63; ; ;0,95;13;81;0,88;25;58
05/01/2017;23;0,62; ; ;0,92;12;80;0,85;33;56
05/01/2017;24;0,62; ; ;0,88;10;82;0,8;33;55
06/01/2017;1;0,59; ; ;0,8;8;82;0,7;20;52
06/01/2017;2;0,57; ; ;0,69;6;82;0,67;16;49
06/01/2017;3;0,55; ; ;0,54;5;82;0,64;13;48
06/01/2017;4;0,52; ; ;0,44;4;82; ;11;46
06/01/2017;5;0,5; ; ;0,34;4;82; ;11;45
06/01/2017;6;0,48; ; ;0,24;4;82; ;10;45
06/01/2017;7;0,47; ; ;0,16;5;82; ;11;44
06/01/2017;8;0,45; ; ;0,11;7;82; ;11;43
06/01/2017;9;0,44; ; ;0,09;8;82; ;11;43
06/01/2017;10;0,44; ; ;0,08;8;79; ;10;41
06/01/2017;11;0,45; ; ;0,09;7;72; ;11;41
06/01/2017;12;0,47; ; ;0,13;6;67;<0,05;11;40
06/01/2017;13;0,48; ; ;0,18;8;64;0,03;11;39
06/01/2017;14;0,51; ; ;0,22;10;63;0,07;10;38
06/01/2017;15;0,53; ; ;0,23;11;60;0,11;11;38
06/01/2017;16;0,56; ; ;0,26;16;58;0,15;13;37
06/01/2017;17;0,59; ; ;0,28;17;57;0,2;14;37
06/01/2017;18;0,6; ; ;0,3; ;55;0,22;16;37
06/01/2017;19;0,62; ; ;0,3;14;53;0,26;19;38
06/01/2017;20;0,65; ; ;0,28;15;52;0,3;25;38
06/01/2017;21;0,68; ; ;0,24;16;50;0,33;20;40
06/01/2017;22;0,71; ; ;0,23;15;48;0,34;18;43
06/01/2017;23;0,75; ; ;0,23;17;45;0,33;16;43
06/01/2017;24;0,77; ; ;0,21;16;43;0,33;11;41
07/01/2017;1;0,79; ; ;0,19;16;42;0,38;11;42
07/01/2017;2;0,79; ; ;0,17;15;41;0,42;10;42
07/01/2017;3;0,78; ; ;0,15;10;40;0,47;10;40
07/01/2017;4;0,75; ; ;0,12;7;39;0,5;8;40
07/01/2017;5;0,72; ; ;0,1;6;39;0,54;9;41
07/01/2017;6;0,68; ; ;0,08;6;39;0,59;9;43
07/01/2017;7;0,64; ; ;0,06;6;38;0,64;10;43
07/01/2017;8;0,6; ; ;0,05;6;38;0,69;12;44
