fecha,hora,co_centenario,no2_centenario,pm10_centenario,co_cordoba,no2_cordoba,pm10_cordoba,co_la_boca,no2_la_boca,pm10_la_boca
2018-01-01,1,0.43,9,25,0.47,14,24,0.37,28,23
2018-01-01,2,0.44,11,27,0.53,20,24,0.39,28,26
2018-01-01,3,0.46,13,30,0.59,21,26,0.40,29,29
2018-01-01,4,0.47,14,32,0.65,20,28,0.41,25,30
2018-01-01,5,0.47,12,32,0.71,17,28,0.41,16,31
2018-01-01,6,0.44,12,33,0.74,16,29,0.39,12,32
2018-01-01,7,0.41,9,33,0.77,15,29,0.37,16,32
2018-01-01,8,0.37,8,33,0.79,14,29,0.34,14,32
2018-01-01,9,0.35,s/d,33,0.78,16,29,0.32,12,32
2018-01-01,10,0.42,s/d,34,0.73,7,28,0.30,10,32
2018-01-01,11,0.41,5,34,0.68,5,28,0.28,12,32
2018-01-01,12,0.40,5,35,0.62,4,28,0.26,12,31
2018-01-01,13,0.40,5,35,0.58,4,27,0.25,14,31
2018-01-01,14,0.39,6,35,0.55,6,27,0.24,18,31
2018-01-01,15,0.39,7,s/d,0.53,8,26,0.24,16,30
2018-01-01,16,0.39,8,s/d,0.52,8,26,0.23,18,30
2018-01-01,17,0.37,6,s/d,0.51,7,26,0.24,15,30
2018-01-01,18,0.28,10,s/d,0.51,6,25,0.23,20,30
2018-01-01,19,0.25,5,s/d,0.52,9,26,0.23,20,31
2018-01-01,20,0.25,7,s/d,0.54,10,26,0.24,25,31
2018-01-01,21,0.25,8,s/d,0.56,10,27,0.25,22,31
2018-01-01,22,0.26,8,s/d,0.57,13,26,0.26,23,30
2018-01-01,23,0.27,11,s/d,0.58,13,25,0.28,23,29
2018-01-01,24,0.28,9,s/d,0.60,15,25,0.29,24,28
2018-01-02,1,0.29,10,s/d,0.62,16,24,0.30,22,26
2018-01-02,2,0.29,8,s/d,0.63,9,23,0.31,19,22
2018-01-02,3,0.29,8,s/d,0.63,8,21,0.31,14,19
2018-01-02,4,0.28,8,s/d,0.62,8,19,0.31,16,18
2018-01-02,5,0.26,5,s/d,0.60,11,18,0.31,19,17
2018-01-02,6,0.26,10,s/d,0.60,11,18,0.32,24,17
2018-01-02,7,0.27,14,s/d,0.59,10,17,0.34,23,17
2018-01-02,8,0.28,12,s/d,0.60,13,17,0.36,23,17
2018-01-02,9,0.30,15,s/d,0.62,14,17,0.38,22,18
2018-01-02,10,0.34,19,10,0.67,22,17,0.42,28,19
2018-01-02,11,0.35,21,12,0.73,29,17,0.44,30,19
2018-01-02,12,0.38,s/d,13,0.80,31,18,0.45,31,20
2018-01-02,13,s/d,s/d,s/d,0.87,30,19,0.45,29,21
2018-01-02,14,s/d,s/d,s/d,0.92,24,19,0.44,27,21
2018-01-02,15,s/d,s/d,s/d,0.98,26,20,0.41,29,22
2018-01-02,16,s/d,s/d,s/d,1.01,27,20,0.38,30,23
2018-01-02,17,s/d,s/d,s/d,1.03,26,21,0.38,33,25
2018-01-02,18,s/d,s/d,s/d,1.02,27,22,0.36,34,26
2018-01-02,19,s/d,s/d,s/d,1.00,24,23,0.37,31,27
2018-01-02,20,s/d,s/d,s/d,0.98,25,24,0.36,28,27
2018-01-02,21,s/d,s/d,s/d,0.95,22,24,0.35,31,29
2018-01-02,22,s/d,s/d,s/d,0.93,21,26,0.35,33,31
2018-01-02,23,s/d,s/d,s/d,0.92,22,28,0.34,19,33
2018-01-02,24,s/d,s/d,s/d,0.90,20,30,0.32,12,36
2018-01-03,1,s/d,s/d,s/d,0.86,17,31,0.30,23,37
2018-01-03,2,s/d,s/d,s/d,0.81,14,31,0.26,30,37
2018-01-03,3,s/d,s/d,s/d,0.76,16,32,0.22,32,37
2018-01-03,4,s/d,s/d,s/d,0.71,15,32,0.21,35,38
2018-01-03,5,s/d,s/d,s/d,0.67,13,32,0.22,28,38
2018-01-03,6,s/d,s/d,s/d,0.63,18,32,0.24,23,38
2018-01-03,7,s/d,s/d,s/d,0.58,22,32,0.28,25,38
2018-01-03,8,s/d,s/d,s/d,0.54,20,32,0.33,25,38
2018-01-03,9,s/d,s/d,s/d,0.53,13,33,0.37,27,39
2018-01-03,10,s/d,s/d,s/d,0.53,9,33,0.41,25,40
2018-01-03,11,s/d,s/d,s/d,0.53,10,33,0.44,25,41
2018-01-03,12,s/d,s/d,s/d,0.54,11,32,0.48,30,41
2018-01-03,13,s/d,s/d,s/d,0.55,10,32,0.50,28,42
2018-01-03,14,s/d,s/d,s/d,0.55,12,32,0.50,24,42
2018-01-03,15,s/d,s/d,s/d,0.56,14,33,0.48,26,44
2018-01-03,16,s/d,s/d,s/d,0.58,20,33,0.46,29,46
2018-01-03,17,s/d,s/d,s/d,0.60,21,33,0.43,23,46
